,mean,std
LapNumber,30.004863123340964,18.06407644493675
Stint,2.0158254138720593,0.9012952556332859
TyreLife,14.378877834289073,10.461690369879392
Position,9.722538550383984,5.393101752430136
LapTime (s),93.12743535085409,14.012058046427862
LapTime_Delta,-0.05556618913497178,18.114710152001166
Cumulative_Degradation,-30.931445786306263,38.54748938905628
RaceProgress,0.40625205643051426,0.2446434042345837
Position_Change,-0.013535693299021297,4.397772665862276
Degradation_Rate,0.22260252000350889,4.552411695788353
